# ExEP Small Temperate Exoplanet Database,,,,,,,,Selection Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NASA Exoplanet Exploration Program Office Internal Database,,,,,,,,"Hab Zone: both from Kopparapu+2014, adopting either ""conservative"" or ""optimistic"" hab zone limits (assume 1 Mearth for calculation) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Eric Mamajek,,,9/28/18,,,,,"Planet mass upper limit: ""conservative"" < 5 Mearth, ""optimistic"" < 10 Mearth. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COUNTS,,,Conserv.Terrestrial Temperate,Optimistic Terrestrial Temperate,Optimistic Small Temperate,,,"Planet radius upper limit: ""conservative"" < 1.5 Rearth, ""optimistic"" < 1.8 Rearth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# total,,,8,16,,26,,"Discovery flag in column 4: K(Kepler mission), K2, RV(radial velocity), T(other transit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by Kepler mission,,,2,5,,11,,Quantities in italics are calculated in this table from other published parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by K2,,,0,1,,1,,"""Conservative temperate terrestrial exoplanet count"" = number of likely terrestrial planets (<=1.5 Re, <=5 Me) in conservative habitable zone"" ('hall of fame')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by other transit,,,3,4,,5,,"""Optimistic temperate terrestrial exoplanet count"" = number of likely terrestrial planets (<=1.5 Re, <=5 Me) in optimistic habitable zone"" (would include early Venus and early Mars)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by precision RV,,,3,6,,9,,"""Optimistic temperate small exoplanet count"" = number of ""small"" (<=1.8 Re, <=10 Me) planets in optimistic habitable zone"" (likely contains some sub-Neptunes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Optimistic Temperate Small (<1.8Re),2,Conservative Temperate Terrestrial (<1.5 Re),4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47
opt_in,Optimistic Temperate Terrestrial (<1.5Re),con_in,Planet,Planet_Description,discovery_method,NExSci_confirmed,HEC list,DR25,Radius,Radius_orig,Ref_radius,Mass,Ref_Mass,Teff,Ref_Teff,Parallax_mas,err_mas,Dist_pc,Dist_ly,log_Lum,Ref_lum,Period,Ref_period,Mass_star,ref_Mass_star,semi_major_axis,Ref_a,T_eq_0,T_eq_03,S,S_in_HZ,S_out_HZ,S_in_Recent_Venus,S_out_Early_Mars,in_Conservative_HZ,in_Optimistic_HZ,diff_from_S_Earth,Teq_published,S_published,Spec_Type,Planet_Alias,ID,2MASS_J,Fe_H,ref_Fe_H,last updated,Notes
TRUE,N,FALSE,GJ 3293 d,temperate small (conservative),RV,Y,NA,NA,NA,NA,NA,7.60+-1.05,Astudillo-Defru+2017,3466,Astudillo-Defru+2017,49.4999,0.0525,20.2,65.89,-1.658,Astudillo-Defru+2017,48.1345,Astudillo-Defru+2017,0.42,Astudillo-Defru+2017,0.193934712,"calc P,M",244,223,0.585,0.931,0.246,1.494,0.221,Y,Y,42%,,0.59,M2.5V,LHS 1672 d,LTT 1993,04283571-2510088,0.11,Gaidos+2014,9/20/18,Astudillo-Defru+2017
TRUE,N,FALSE,Kepler-296 e,temperate small (conservative),K ,Y,Yo,Y,1.75,1.75+0.12-0.19,Torres+2015,NA,NA,3572,Torres+2015,4.42478,NA,226,737.1,-1.569,Torres+2015,63.336,Torres+2015,0.394,Mathur+2017,0.227964543,"calc P,M",236,216,0.52,0.933,0.249,1.498,0.224,Y,Y,48%,NA,0.39,M2V,KOI-1422.05,KIC 11497958,19060960+4926143,,,9/13/18,"Torres+2015 (also 0.2"" bin), no Gaia DR2 plx, Dist from Torres, SpT from Muirhead+2012"
TRUE,N,FALSE,Kepler-62 f,temperate small (conservative),K ,Y,Y,Y,1.531,1.531+0.099-0.084,Berger+2018,<35,Borucki+2013,4859,Berger+2018,3.2947,0.0134,303.52,989.92,-0.595,"Berger+2018(calc R,T)",267.291,Borucki+2013,0.727,Mathur+2017,0.730189925,"calc P,M",231,212,0.476,1.003,0.303,1.609,0.272,Y,Y,52%,208,0.41,K2V,KOI-701.04,KIC 9002278,18525105+4520595,,,9/13/18,"Borucki+2011 disc., Borucki+2013 detailed study"
TRUE,N,FALSE,LHS 1140 b,temperate small (conservative),T,Y,NA,NA,1.72,1.72,Kane2018,6.65+-1.82,Dittman+2017,3131,Dittman+2017,66.6996,0.0674,14.99,48.9,-2.367,Kane2018,24.73712,Dittman+2017,0.206,Newton+2017,0.098127328,"calc P,M",228,208,0.446,0.924,0.236,1.483,0.213,Y,Y,55%,230,0.46,M4.5V,GJ 3053 b,LHS 1140,00445930-1516166,,,9/13/18,"Dittman+2017, large (6.65 Mearth), but retained as M & R consistent with rocky"
TRUE,N,FALSE,Kepler-1652 b,temperate small (optimistic),K,Y,Yc,Y,1.6,1.60+-0.18,Torres+2017,NA,NA,3637,Mann+2013,NULL,NULL,NULL,#VALUE!,-1.479,"Mann+2013(T,R)",38.09722,Torres+2017,0.485,Mann+2013,0.174091505,"calc P,M",285,261,1.096,0.935,0.251,1.5,0.226,N,Y,10%,268,0.81,M2V,KOI-2626.01,KIC 11768142,19372786+4954542,-0.43,Mann+2013,9/17/18,"Muirhead+2012; Two issues: not in DR25 and Torres+2017 lists two close stellar companions (0.164"",0.206""), planet may be 2.66 or 2.38 Re if orbiting one of those"
TRUE,N,FALSE,Kepler-1455 b,temperate small (optimistic),K ,Y,NA,Y,1.75,1.75+0.09-0.13,Thompson+2018,NA,NA,3899,Thompson+2018,2.7682,0.041,361.25,1178.2,-1.233,Thompson+2018,49.27684,Thompson+2018,0.528,Mathur+2017,0.212605592,"calc P,M",297,272,1.294,0.943,0.26,1.514,0.234,N,Y,29%,272,1.28,M0V,KOI-3282.01,KIC 12066569,19361993+5030099,-0.21,Torres+2017,9/13/18,"Morton+2016,Thompson+2018/DR25; Good agreement among authors T ~ 4000K"
FALSE,N,FALSE,Kepler-1410 b,temperate sub-Neptune (optimistic),K ,Y,Yo,Y,2.15,2.15+0.12-0.17,Torres+2017,NA,NA,3950,Torres+2017,2.7248,NA,367,1196.97,-1.158,Torres+2017,60.86628,Torres+2017,0.63,Morton+2016,0.259596898,"calc P,M",281,257,1.031,0.945,0.262,1.517,0.236,N,Y,3%,290,1.06,M1V,KOI-3010.01,KIC 3642335,19220244+3844367,,,9/13/18,"Mann+2013 reported; Torres+2017 params; 0.334"" binary, 3.14 Rearth if orbiting companion? Not in DR2, Dist from Morton+2016"
FALSE,N,FALSE,Kepler-283 c,temperate sub-Neptune (conservative),K,Y,Yo,Y,2.055,2.055+0.110-0.151,Berger+2018,NA,NA,4141,Berger+2018,2.1082,0.0354,474.34,1547.05,-0.965,Berger+2018,92.749023,Morton+2016,0.596,Mathur+2017,0.337460639,"calc P,M",275,252,0.953,0.954,0.269,1.53,0.242,Y,Y,5%,247,,K7V,KOI-1298.02,KIC 10604335,19342729+4750204,-0.21,Mann+2013,9/17/18,Muirhead+2012
FALSE,N,FALSE,K2-18 b,temperate sub-Neptune (optimistic),K2 ,Y,NA,NA,-0.22,2.37+-0.22,Sarkis+2018,8.92,Sarkis+2018,3457,Sarkis+2018,26.2686,0.0546,38.07,124.16,-1.663,"Sarkis+2018 calc w/R,T",32.939614,Sarkis+2017,0.36,Cloutier+2018,0.143058823,"calc P,M",283,259,1.062,0.931,0.246,1.493,0.221,N,Y,6%,284,NA,M2.5V,EPIC 201912552 b,PM J11302+0735,11301450+0735180,,,9/13/18,Montet+15 reported; Sarkis+2018 parameters
FALSE,N,FALSE,Kepler-440 b,temperate small (conservative),K ,Y,Yo,Y,1.899,1.899+0.095-0.121,Berger+2018,NA,NA,4134,Torres+2015/Berger+2018,3.2932,0.0249,303.66,990.37,-0.939,Berger+2018,101.11141,Torres+2015,0.578,Mathur+2017,0.353816052,"calc P,M",273,249,0.918,0.953,0.269,1.53,0.242,Y,Y,8%,NA,1.2,[K7V],KOI-4087.01,KIC 6106282,19012398+4127079,,,9/13/18,Torres+2015
